BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
c00063_SGB_925...region001	c00063_SGB_925..	SGB_9255_k141_2628926	ranthipeptide	RiPPs		
c00063_SGB_992...region001	c00063_SGB_992..	SGB_9920_k141_768473	cyclic-lactone-autoinducer	RiPPs		
c00064_SGB_104...region001	c00064_SGB_104..	SGB_10425_k141_807672	RRE-containing	RiPPs		
c00064_SGB_112...region001	c00064_SGB_112..	SGB_11239_k141_1002244	ranthipeptide	RiPPs		
c00064_SGB_118...region001	c00064_SGB_118..	SGB_11888_k141_733717	NRPS	NRPS		
c00064_SGB_122...region001	c00064_SGB_122..	SGB_12279_k141_1349257	betalactone	Others		
c00064_SGB_123...region001	c00064_SGB_123..	SGB_12325_k141_649898	betalactone	Others		
c00064_SGB_126...region001	c00064_SGB_126..	SGB_12613_k141_549450	betalactone	Others		
c00064_SGB_127...region001	c00064_SGB_127..	SGB_12722_k141_327631	NRPS	NRPS		
c00064_SGB_130...region001	c00064_SGB_130..	SGB_13033_k141_989057	ranthipeptide.NRPS	Others		
c00064_SGB_357...region001	c00064_SGB_357..	SGB_3578_k141_1028533	NRPS-like	NRPS		
c00064_SGB_449...region001	c00064_SGB_449..	SGB_4496_k141_3048278	betalactone	Others		
c00064_SGB_475...region001	c00064_SGB_475..	SGB_475_k141_1288753	ranthipeptide	RiPPs		
c00064_SGB_529...region001	c00064_SGB_529..	SGB_529_k141_3053171	ranthipeptide	RiPPs		
c00064_SGB_542...region001	c00064_SGB_542..	SGB_5427_k141_1524050	NRPS-like.NRPS	NRPS		
c00064_SGB_566...region001	c00064_SGB_566..	SGB_5660_k141_2845052	betalactone	Others		
c00064_SGB_652...region001	c00064_SGB_652..	SGB_6527_k141_1945496	NRPS	NRPS		
c00064_SGB_751...region001	c00064_SGB_751..	SGB_7514_k141_628670	RRE-containing	RiPPs		
c00064_SGB_803...region001	c00064_SGB_803..	SGB_8037_k141_354973	RRE-containing	RiPPs		
c00064_SGB_823...region001	c00064_SGB_823..	SGB_8231_k141_1163150	RRE-containing	RiPPs		
c00064_SGB_840...region001	c00064_SGB_840..	SGB_8404_k141_1203402	RRE-containing	RiPPs		
c00064_SGB_985...region001	c00064_SGB_985..	SGB_9851_k141_1046561	RRE-containing	RiPPs		
c00065_SGB_100...region001	c00065_SGB_100..	SGB_10086_k141_1305591	RRE-containing	RiPPs		
c00065_SGB_101...region001	c00065_SGB_101..	SGB_10144_k141_1429104	ranthipeptide	RiPPs		
c00065_SGB_102...region001	c00065_SGB_102..	SGB_10234_k141_1841093	betalactone	Others		
c00065_SGB_110...region001	c00065_SGB_110..	SGB_11016_k141_1441616	betalactone	Others		
c00065_SGB_113...region001	c00065_SGB_113..	SGB_11300_k141_822831	NRPS	NRPS		
c00065_SGB_115...region001	c00065_SGB_115..	SGB_11506_k141_1519282	cyclic-lactone-autoinducer	RiPPs		
c00065_SGB_117...region001	c00065_SGB_117..	SGB_11782_k141_450443	betalactone	Others		
c00065_SGB_120...region001	c00065_SGB_120..	SGB_12079_k141_2335113	NRPS	NRPS		
c00065_SGB_121...region001	c00065_SGB_121..	SGB_12138_k141_530599	cyclic-lactone-autoinducer	RiPPs		
c00065_SGB_124...region001	c00065_SGB_124..	SGB_12499_k141_1421626	NRPS-like	NRPS		
c00065_SGB_125...region001	c00065_SGB_125..	SGB_12549_k141_522857	RRE-containing	RiPPs		
c00065_SGB_127...region001	c00065_SGB_127..	SGB_12719_k141_360857	cyclic-lactone-autoinducer.LAP.thiopeptide	RiPPs		
c00065_SGB_129...region001	c00065_SGB_129..	SGB_12989_k141_862287	cyclic-lactone-autoinducer	RiPPs		
c00065_SGB_398...region001	c00065_SGB_398..	SGB_3989_k141_1024447	betalactone	Others		
c00065_SGB_469...region001	c00065_SGB_469..	SGB_469_k141_242313	NRPS	NRPS		
c00065_SGB_482...region001	c00065_SGB_482..	SGB_4821_k141_1619810	RRE-containing	RiPPs		
c00065_SGB_510...region001	c00065_SGB_510..	SGB_5106_k141_1192490	cyclic-lactone-autoinducer.ranthipeptide	RiPPs		
c00065_SGB_518...region001	c00065_SGB_518..	SGB_5180_k141_2414317	NRPS-like	NRPS		
c00065_SGB_530...region001	c00065_SGB_530..	SGB_5304_k141_1554269	RRE-containing	RiPPs		
c00065_SGB_553...region001	c00065_SGB_553..	SGB_5537_k141_1845299	NRPS	NRPS		
c00065_SGB_582...region001	c00065_SGB_582..	SGB_5828_k141_263897	arylpolyene	Others		
c00065_SGB_658...region001	c00065_SGB_658..	SGB_6585_k141_2288030	RRE-containing	RiPPs		
c00065_SGB_773...region001	c00065_SGB_773..	SGB_7739_k141_1611715	ranthipeptide	RiPPs		
c00065_SGB_818...region001	c00065_SGB_818..	SGB_8189_k141_2389018	ranthipeptide	RiPPs		
c00065_SGB_821...region001	c00065_SGB_821..	SGB_8216_k141_1634275	RRE-containing	RiPPs		
c00065_SGB_836...region001	c00065_SGB_836..	SGB_8363_k141_1261938	ranthipeptide	RiPPs		
c00065_SGB_961...region001	c00065_SGB_961..	SGB_9616_k141_858324	betalactone	Others		
c00066_SGB_104...region001	c00066_SGB_104..	SGB_10461_k141_367532	betalactone.ranthipeptide	Others		
c00066_SGB_111...region001	c00066_SGB_111..	SGB_11136_k141_956611	cyclic-lactone-autoinducer	RiPPs		
c00066_SGB_114...region001	c00066_SGB_114..	SGB_11443_k141_683005	ranthipeptide	RiPPs		
c00066_SGB_123...region001	c00066_SGB_123..	SGB_12396_k141_532127	cyclic-lactone-autoinducer	RiPPs		
c00066_SGB_124...region001	c00066_SGB_124..	SGB_12497_k141_100085	betalactone	Others		
c00066_SGB_126...region001	c00066_SGB_126..	SGB_12673_k141_1062143	betalactone	Others		
c00066_SGB_129...region001	c00066_SGB_129..	SGB_12922_k141_2120387	NRPS-like	NRPS		
c00066_SGB_425...region001	c00066_SGB_425..	SGB_4250_k141_1036872	T1PKS	PKSI		
c00066_SGB_494...region001	c00066_SGB_494..	SGB_4940_k141_2431774	betalactone.arylpolyene	Others		
c00066_SGB_571...region001	c00066_SGB_571..	SGB_571_k141_1743451	ranthipeptide	RiPPs		
c00066_SGB_577...region001	c00066_SGB_577..	SGB_5772_k141_1809650	NRPS	NRPS		
c00066_SGB_592...region001	c00066_SGB_592..	SGB_5920_k141_1484620	terpene	Terpene		
c00066_SGB_600...region001	c00066_SGB_600..	SGB_6003_k141_271869	NRPS-like	NRPS		
c00066_SGB_611...region001	c00066_SGB_611..	SGB_6119_k141_1853210	RRE-containing	RiPPs		
c00066_SGB_838...region001	c00066_SGB_838..	SGB_8384_k141_2396620	ranthipeptide	RiPPs		
c00066_SGB_842...region001	c00066_SGB_842..	SGB_8420_k141_2130908	NRPS-like	NRPS		
c00066_SGB_869...region001	c00066_SGB_869..	SGB_8695_k141_483869	betalactone	Others		
c00066_SGB_877...region001	c00066_SGB_877..	SGB_8770_k141_2700433	RRE-containing	RiPPs		
c00066_SGB_905...region001	c00066_SGB_905..	SGB_9055_k141_2735573	ranthipeptide	RiPPs		
c00066_SGB_937...region001	c00066_SGB_937..	SGB_9370_k141_592672	T1PKS	PKSI		
c00066_SGB_974...region001	c00066_SGB_974..	SGB_974_k141_1076650	lanthipeptide-class-ii	RiPPs		
c00067_SGB_104...region001	c00067_SGB_104..	SGB_10488_k141_1107133	NRPS	NRPS		
c00067_SGB_106...region001	c00067_SGB_106..	SGB_10610_k141_243962	hglE-KS	PKSother		
c00067_SGB_107...region001	c00067_SGB_107..	SGB_10739_k141_3545992	RRE-containing	RiPPs		
c00067_SGB_110...region001	c00067_SGB_110..	SGB_11002_k141_759721	terpene	Terpene		
c00067_SGB_112...region001	c00067_SGB_112..	SGB_11263_k141_844166	ranthipeptide	RiPPs		
c00067_SGB_116...region001	c00067_SGB_116..	SGB_11668_k141_1111179	ranthipeptide	RiPPs		
c00067_SGB_118...region001	c00067_SGB_118..	SGB_1183_k141_2078415	NRPS-like	NRPS		
c00067_SGB_120...region001	c00067_SGB_120..	SGB_12060_k141_1976626	RRE-containing	RiPPs		
c00067_SGB_132...region001	c00067_SGB_132..	SGB_13244_k141_529911	betalactone	Others		
c00067_SGB_133...region001	c00067_SGB_133..	SGB_13381_k141_879117	ranthipeptide	RiPPs		
c00067_SGB_370...region001	c00067_SGB_370..	SGB_3705_k141_1233960	ranthipeptide	RiPPs		
c00067_SGB_429...region001	c00067_SGB_429..	SGB_4291_k141_1112169	NRPS-like	NRPS		
c00067_SGB_480...region001	c00067_SGB_480..	SGB_480_k141_1377685	NRPS	NRPS		
c00067_SGB_650...region001	c00067_SGB_650..	SGB_6500_k141_2372545	ranthipeptide	RiPPs		
c00067_SGB_842...region001	c00067_SGB_842..	SGB_8420_k141_2990944	RRE-containing	RiPPs		
c00067_SGB_849...region001	c00067_SGB_849..	SGB_8491_k141_2587611	betalactone	Others		
c00067_SGB_883...region001	c00067_SGB_883..	SGB_8837_k141_2449578	betalactone	Others		
c00067_SGB_931...region001	c00067_SGB_931..	SGB_9312_k141_1813887	ranthipeptide	RiPPs		
c00067_SGB_943...region001	c00067_SGB_943..	SGB_9431_k141_375501	terpene	Terpene		
c00068_SGB_102...region001	c00068_SGB_102..	SGB_10218_k141_1934061	RRE-containing	RiPPs		
c00068_SGB_112...region001	c00068_SGB_112..	SGB_11214_k141_1451161	betalactone	Others		
c00068_SGB_116...region001	c00068_SGB_116..	SGB_11672_k141_1059259	NRPS	NRPS		
c00068_SGB_119...region001	c00068_SGB_119..	SGB_11924_k141_987108	RiPP-like	RiPPs		
c00068_SGB_121...region001	c00068_SGB_121..	SGB_12124_k141_2201133	RRE-containing	RiPPs		
c00068_SGB_122...region001	c00068_SGB_122..	SGB_12283_k141_1158722	hserlactone	Others		
c00068_SGB_124...region001	c00068_SGB_124..	SGB_12488_k141_123182	betalactone	Others		
c00068_SGB_276...region001	c00068_SGB_276..	SGB_2766_k141_1597445	betalactone	Others		
c00068_SGB_357...region001	c00068_SGB_357..	SGB_3575_k141_2210070	NRPS-like.NRPS	NRPS		
c00068_SGB_386...region001	c00068_SGB_386..	SGB_3867_k141_41007	NRPS	NRPS		
c00068_SGB_398...region001	c00068_SGB_398..	SGB_3988_k141_1488540	NRPS	NRPS		
c00068_SGB_404...region001	c00068_SGB_404..	SGB_404_k141_797091	NRPS-like	NRPS		
c00068_SGB_439...region001	c00068_SGB_439..	SGB_4395_k141_1389467	RRE-containing	RiPPs		
c00068_SGB_445...region001	c00068_SGB_445..	SGB_4459_k141_1612791	RRE-containing	RiPPs		
c00068_SGB_493...region001	c00068_SGB_493..	SGB_4931_k141_1176701	terpene	Terpene		
c00068_SGB_510...region001	c00068_SGB_510..	SGB_5106_k141_1456605	RRE-containing	RiPPs		
c00068_SGB_543...region001	c00068_SGB_543..	SGB_5432_k141_1768952	RRE-containing	RiPPs		
c00068_SGB_550...region001	c00068_SGB_550..	SGB_550_k141_1116400	RRE-containing	RiPPs		
c00068_SGB_602...region001	c00068_SGB_602..	SGB_6020_k141_1463767	ranthipeptide	RiPPs		
c00068_SGB_608...region001	c00068_SGB_608..	SGB_6083_k141_3062269	RRE-containing	RiPPs		
c00068_SGB_611...region001	c00068_SGB_611..	SGB_6119_k141_1072375	NRPS-like	NRPS		
c00068_SGB_615...region001	c00068_SGB_615..	SGB_6159_k141_2676378	NRPS	NRPS		
c00068_SGB_622...region001	c00068_SGB_622..	SGB_6225_k141_1040911	NRPS	NRPS		
c00068_SGB_652...region001	c00068_SGB_652..	SGB_6529_k141_2079293	RRE-containing	RiPPs		
c00068_SGB_700...region001	c00068_SGB_700..	SGB_7009_k141_851341	betalactone	Others		
c00068_SGB_732...region001	c00068_SGB_732..	SGB_7322_k141_508485	terpene	Terpene		
c00068_SGB_861...region001	c00068_SGB_861..	SGB_8616_k141_1351463	RRE-containing	RiPPs		
c00068_SGB_903...region001	c00068_SGB_903..	SGB_9036_k141_851284	betalactone	Others		
c00068_SGB_934...region001	c00068_SGB_934..	SGB_9340_k141_2502189	RRE-containing	RiPPs		
c00068_SGB_991...region001	c00068_SGB_991..	SGB_9914_k141_2234292	RRE-containing	RiPPs		
c00069_SGB_103...region001	c00069_SGB_103..	SGB_1033_k141_2413820	betalactone	Others		
c00069_SGB_105...region001	c00069_SGB_105..	SGB_10529_k141_618161	RRE-containing	RiPPs		
c00069_SGB_107...region001	c00069_SGB_107..	SGB_10791_k141_95759	cyclic-lactone-autoinducer	RiPPs		
c00069_SGB_112...region001	c00069_SGB_112..	SGB_11246_k141_1172821	RRE-containing	RiPPs		
c00069_SGB_119...region001	c00069_SGB_119..	SGB_11924_k141_860528	RiPP-like	RiPPs		
c00069_SGB_122...region001	c00069_SGB_122..	SGB_1228_k141_604101	RRE-containing	RiPPs		
c00069_SGB_123...region001	c00069_SGB_123..	SGB_12389_k141_285918	NRPS	NRPS		
c00069_SGB_130...region001	c00069_SGB_130..	SGB_13077_k141_1585861	betalactone	Others		
c00069_SGB_134...region001	c00069_SGB_134..	SGB_13414_k141_2378291	RRE-containing	RiPPs		
c00069_SGB_377...region001	c00069_SGB_377..	SGB_3777_k141_1463898	arylpolyene	Others		
c00069_SGB_449...region001	c00069_SGB_449..	SGB_4496_k141_2120425	NRPS-like	NRPS		
c00069_SGB_466...region001	c00069_SGB_466..	SGB_4664_k141_372725	betalactone	Others		
c00069_SGB_476...region001	c00069_SGB_476..	SGB_4762_k141_1051626	RRE-containing	RiPPs		
c00069_SGB_481...region001	c00069_SGB_481..	SGB_4810_k141_2006086	RRE-containing	RiPPs		
c00069_SGB_487...region001	c00069_SGB_487..	SGB_4873_k141_467750	ranthipeptide	RiPPs		
c00069_SGB_510...region001	c00069_SGB_510..	SGB_5106_k141_202269	NRPS-like	NRPS		
c00069_SGB_577...region001	c00069_SGB_577..	SGB_5773_k141_459777	betalactone	Others		
c00069_SGB_611...region001	c00069_SGB_611..	SGB_6116_k141_1043707	cyclic-lactone-autoinducer	RiPPs		
c00069_SGB_759...region001	c00069_SGB_759..	SGB_7590_k141_853427	RRE-containing	RiPPs		
c00069_SGB_771...region001	c00069_SGB_771..	SGB_7717_k141_2094032	RRE-containing	RiPPs		
c00069_SGB_800...region001	c00069_SGB_800..	SGB_8008_k141_4173501	ranthipeptide	RiPPs		
c00069_SGB_859...region001	c00069_SGB_859..	SGB_8592_k141_1834371	betalactone	Others		
c00069_SGB_864...region001	c00069_SGB_864..	SGB_8647_k141_2726285	betalactone	Others		
c00069_SGB_892...region001	c00069_SGB_892..	SGB_8922_k141_2630055	betalactone	Others		
c00069_SGB_896...region001	c00069_SGB_896..	SGB_8966_k141_2146526	RRE-containing	RiPPs		
c00069_SGB_934...region001	c00069_SGB_934..	SGB_9340_k141_2689984	ranthipeptide	RiPPs		
c00070_SGB_101...region001	c00070_SGB_101..	SGB_10117_k141_1509537	cyclic-lactone-autoinducer	RiPPs		
c00070_SGB_103...region001	c00070_SGB_103..	SGB_10345_k141_915183	RRE-containing	RiPPs		
c00070_SGB_104...region001	c00070_SGB_104..	SGB_10489_k141_1144414	RRE-containing	RiPPs		
c00070_SGB_106...region001	c00070_SGB_106..	SGB_10604_k141_874764	terpene	Terpene		
c00070_SGB_117...region001	c00070_SGB_117..	SGB_11724_k141_2038810	betalactone	Others		
c00070_SGB_118...region001	c00070_SGB_118..	SGB_11856_k141_403622	ranthipeptide	RiPPs		
c00070_SGB_120...region001	c00070_SGB_120..	SGB_12069_k141_1336336	RRE-containing	RiPPs		
c00070_SGB_121...region001	c00070_SGB_121..	SGB_12143_k141_856335	thioamitides	RiPPs		
c00070_SGB_123...region001	c00070_SGB_123..	SGB_12396_k141_193282	lanthipeptide-class-ii	RiPPs		
c00070_SGB_125...region001	c00070_SGB_125..	SGB_12549_k141_1152898	RRE-containing	RiPPs		
c00070_SGB_355...region001	c00070_SGB_355..	SGB_355_k141_1404404	ranthipeptide	RiPPs		
c00070_SGB_357...region001	c00070_SGB_357..	SGB_3575_k141_1240423	RRE-containing	RiPPs		
c00070_SGB_455...region001	c00070_SGB_455..	SGB_4553_k141_1319958	ranthipeptide	RiPPs		
c00070_SGB_511...region001	c00070_SGB_511..	SGB_511_k141_2469508	ranthipeptide	RiPPs		
c00070_SGB_611...region001	c00070_SGB_611..	SGB_6117_k141_944341	arylpolyene	Others		
c00070_SGB_629...region001	c00070_SGB_629..	SGB_6294_k141_934093	ranthipeptide	RiPPs		
c00070_SGB_635...region001	c00070_SGB_635..	SGB_6355_k141_2765995	ranthipeptide	RiPPs		
c00070_SGB_656...region001	c00070_SGB_656..	SGB_6560_k141_3533811	NRPS-like	NRPS		
c00070_SGB_727...region001	c00070_SGB_727..	SGB_7278_k141_1147753	RRE-containing	RiPPs		
c00070_SGB_810...region001	c00070_SGB_810..	SGB_8104_k141_432198	arylpolyene	Others		
c00070_SGB_824...region001	c00070_SGB_824..	SGB_8248_k141_1420125	ranthipeptide	RiPPs		
c00070_SGB_828...region001	c00070_SGB_828..	SGB_8281_k141_283570	RRE-containing	RiPPs		
c00070_SGB_910...region001	c00070_SGB_910..	SGB_9100_k141_1370930	ranthipeptide	RiPPs		
c00070_SGB_912...region001	c00070_SGB_912..	SGB_9129_k141_669319	ranthipeptide	RiPPs		
c00070_SGB_933...region001	c00070_SGB_933..	SGB_9338_k141_1855066	ranthipeptide.thiopeptide	RiPPs		
c00070_SGB_956...region001	c00070_SGB_956..	SGB_9562_k141_197279	NRPS-like	NRPS		
c00070_SGB_957...region001	c00070_SGB_957..	SGB_9571_k141_1086911	betalactone	Others		
c00070_SGB_974...region001	c00070_SGB_974..	SGB_9746_k141_1660785	RRE-containing	RiPPs		
c00070_SGB_987...region001	c00070_SGB_987..	SGB_9870_k141_1440972	RRE-containing	RiPPs		
c00071_SGB_101...region001	c00071_SGB_101..	SGB_10121_k141_457097	betalactone	Others		
c00071_SGB_109...region001	c00071_SGB_109..	SGB_10969_k141_1829275	betalactone	Others		
c00071_SGB_111...region001	c00071_SGB_111..	SGB_1118_k141_930452	NRPS-like.NRPS	NRPS		
c00071_SGB_113...region001	c00071_SGB_113..	SGB_11348_k141_585240	ranthipeptide	RiPPs		
c00071_SGB_114...region001	c00071_SGB_114..	SGB_11443_k141_705640	NRPS-like	NRPS		
c00071_SGB_115...region001	c00071_SGB_115..	SGB_11509_k141_2903892	ranthipeptide	RiPPs		
c00071_SGB_117...region001	c00071_SGB_117..	SGB_11741_k141_320934	NRPS	NRPS		
c00071_SGB_118...region001	c00071_SGB_118..	SGB_11875_k141_1222095	ladderane	Others		
c00071_SGB_120...region001	c00071_SGB_120..	SGB_12053_k141_840497	RRE-containing	RiPPs		
c00071_SGB_121...region001	c00071_SGB_121..	SGB_12113_k141_1700620	betalactone	Others		
c00071_SGB_122...region001	c00071_SGB_122..	SGB_12220_k141_541138	ranthipeptide	RiPPs		
c00071_SGB_123...region001	c00071_SGB_123..	SGB_12316_k141_912087	ranthipeptide	RiPPs		
c00071_SGB_131...region001	c00071_SGB_131..	SGB_1318_k141_1915470	RRE-containing	RiPPs		
c00071_SGB_132...region001	c00071_SGB_132..	SGB_13281_k141_1427929	RRE-containing	RiPPs		
c00071_SGB_309...region001	c00071_SGB_309..	SGB_3097_k141_1440561	RRE-containing	RiPPs		
c00071_SGB_367...region001	c00071_SGB_367..	SGB_3675_k141_939580	NRPS-like	NRPS		
c00071_SGB_377...region001	c00071_SGB_377..	SGB_3777_k141_1125783	arylpolyene	Others		
c00071_SGB_408...region001	c00071_SGB_408..	SGB_4083_k141_2133848	NRPS	NRPS		
c00071_SGB_413...region001	c00071_SGB_413..	SGB_4130_k141_369149	terpene	Terpene		
c00071_SGB_459...region001	c00071_SGB_459..	SGB_4592_k141_1952406	NRPS-like	NRPS		
c00071_SGB_475...region001	c00071_SGB_475..	SGB_475_k141_534796	RRE-containing	RiPPs		
c00071_SGB_509...region001	c00071_SGB_509..	SGB_5092_k141_244824	ranthipeptide	RiPPs		
c00071_SGB_519...region001	c00071_SGB_519..	SGB_5194_k141_1442643	betalactone	Others		
c00071_SGB_602...region001	c00071_SGB_602..	SGB_6028_k141_328775	arylpolyene	Others		
c00071_SGB_849...region001	c00071_SGB_849..	SGB_8491_k141_1110195	RRE-containing	RiPPs		
c00071_SGB_872...region001	c00071_SGB_872..	SGB_8720_k141_2451977	RRE-containing	RiPPs		
c00071_SGB_895...region001	c00071_SGB_895..	SGB_8952_k141_1216473	betalactone	Others		
c00071_SGB_961...region001	c00071_SGB_961..	SGB_9618_k141_1013642	ranthipeptide	RiPPs		
c00071_SGB_995...region001	c00071_SGB_995..	SGB_9955_k141_1179228	ranthipeptide	RiPPs		
c00072_SGB_101...region001	c00072_SGB_101..	SGB_10144_k141_667935	betalactone	Others		
c00072_SGB_104...region001	c00072_SGB_104..	SGB_10426_k141_2026530	betalactone	Others		
c00072_SGB_112...region001	c00072_SGB_112..	SGB_11263_k141_1552659	ranthipeptide	RiPPs		
c00072_SGB_113...region001	c00072_SGB_113..	SGB_11353_k141_1050054	RRE-containing	RiPPs		
c00072_SGB_114...region001	c00072_SGB_114..	SGB_11482_k141_631658	terpene	Terpene		
c00072_SGB_116...region001	c00072_SGB_116..	SGB_11656_k141_924938	RRE-containing	RiPPs		
c00072_SGB_120...region001	c00072_SGB_120..	SGB_12083_k141_2314188	ranthipeptide	RiPPs		
c00072_SGB_122...region001	c00072_SGB_122..	SGB_12262_k141_1934271	ranthipeptide	RiPPs		
c00072_SGB_123...region001	c00072_SGB_123..	SGB_12385_k141_94666	lassopeptide	RiPPs		
c00072_SGB_131...region001	c00072_SGB_131..	SGB_1318_k141_178107	ranthipeptide	RiPPs		
c00072_SGB_397...region001	c00072_SGB_397..	SGB_3971_k141_918673	ladderane.arylpolyene	Others		
c00072_SGB_449...region001	c00072_SGB_449..	SGB_4495_k141_901654	RRE-containing	RiPPs		
c00072_SGB_454...region001	c00072_SGB_454..	SGB_4549_k141_4324193	arylpolyene	Others		
c00072_SGB_480...region001	c00072_SGB_480..	SGB_480_k141_254043	RRE-containing	RiPPs		
c00072_SGB_490...region001	c00072_SGB_490..	SGB_4902_k141_434218	RRE-containing	RiPPs		
c00072_SGB_509...region001	c00072_SGB_509..	SGB_5092_k141_883701	RRE-containing	RiPPs		
c00072_SGB_524...region001	c00072_SGB_524..	SGB_5249_k141_3193952	ranthipeptide	RiPPs		
c00072_SGB_547...region001	c00072_SGB_547..	SGB_5472_k141_1547913	RRE-containing	RiPPs		
c00072_SGB_578...region001	c00072_SGB_578..	SGB_5789_k141_2105695	ranthipeptide	RiPPs		
c00072_SGB_608...region001	c00072_SGB_608..	SGB_608_k141_1422405	NRPS-like	NRPS		
c00072_SGB_659...region001	c00072_SGB_659..	SGB_6592_k141_160403	RRE-containing	RiPPs		
c00072_SGB_706...region001	c00072_SGB_706..	SGB_7064_k141_2352789	RRE-containing	RiPPs		
c00072_SGB_770...region001	c00072_SGB_770..	SGB_7703_k141_1409902	betalactone	Others		
c00072_SGB_849...region001	c00072_SGB_849..	SGB_8491_k141_900713	RRE-containing	RiPPs		
c00072_SGB_872...region001	c00072_SGB_872..	SGB_8721_k141_3674785	RRE-containing	RiPPs		
c00072_SGB_909...region001	c00072_SGB_909..	SGB_9091_k141_3062991	terpene	Terpene		
c00073_SGB_100...region001	c00073_SGB_100..	SGB_10090_k141_1154693	ranthipeptide	RiPPs		
c00073_SGB_104...region001	c00073_SGB_104..	SGB_10456_k141_465084	betalactone	Others		
c00073_SGB_105...region001	c00073_SGB_105..	SGB_10559_k141_358938	RRE-containing	RiPPs		
c00073_SGB_109...region001	c00073_SGB_109..	SGB_10913_k141_202816	ranthipeptide	RiPPs		
c00073_SGB_113...region001	c00073_SGB_113..	SGB_11348_k141_1409662	cyclic-lactone-autoinducer	RiPPs		
c00073_SGB_116...region001	c00073_SGB_116..	SGB_11670_k141_75100	terpene	Terpene		
c00073_SGB_119...region001	c00073_SGB_119..	SGB_11924_k141_2167777	ranthipeptide	RiPPs		
c00073_SGB_135...region001	c00073_SGB_135..	SGB_13569_k141_1540402	NRPS	NRPS		
c00073_SGB_385...region001	c00073_SGB_385..	SGB_3854_k141_976626	lassopeptide	RiPPs		
c00073_SGB_417...region001	c00073_SGB_417..	SGB_4179_k141_1228738	terpene	Terpene		
c00073_SGB_424...region001	c00073_SGB_424..	SGB_4241_k141_76305	NRPS-like	NRPS		
c00073_SGB_473...region001	c00073_SGB_473..	SGB_4733_k141_2653765	RRE-containing	RiPPs		
c00073_SGB_474...region001	c00073_SGB_474..	SGB_4744_k141_942825	betalactone	Others		
c00073_SGB_536...region001	c00073_SGB_536..	SGB_5368_k141_2656821	RRE-containing	RiPPs		
c00073_SGB_606...region001	c00073_SGB_606..	SGB_6064_k141_739492	NRPS	NRPS		
c00073_SGB_611...region001	c00073_SGB_611..	SGB_6111_k141_2636345	NRPS-like	NRPS		
c00073_SGB_621...region001	c00073_SGB_621..	SGB_6219_k141_92979	RRE-containing	RiPPs		
c00073_SGB_629...region001	c00073_SGB_629..	SGB_6294_k141_2007735	ranthipeptide	RiPPs		
c00073_SGB_671...region001	c00073_SGB_671..	SGB_6713_k141_586431	other	Others		
c00073_SGB_711...region001	c00073_SGB_711..	SGB_7117_k141_718348	RRE-containing	RiPPs		
c00073_SGB_728...region001	c00073_SGB_728..	SGB_7280_k141_2070677	ranthipeptide	RiPPs		
c00073_SGB_733...region001	c00073_SGB_733..	SGB_7333_k141_606251	betalactone	Others		
c00073_SGB_759...region001	c00073_SGB_759..	SGB_7591_k141_2891594	arylpolyene	Others		
c00073_SGB_809...region001	c00073_SGB_809..	SGB_809_k141_1773851	RRE-containing	RiPPs		
c00073_SGB_849...region001	c00073_SGB_849..	SGB_8491_k141_1743383	NRPS-like	NRPS		
c00073_SGB_858...region001	c00073_SGB_858..	SGB_8585_k141_276686	RRE-containing	RiPPs		
c00073_SGB_912...region001	c00073_SGB_912..	SGB_9124_k141_1695113	RRE-containing	RiPPs		
c00073_SGB_961...region001	c00073_SGB_961..	SGB_9619_k141_1382162	RRE-containing	RiPPs		
c00074_SGB_103...region001	c00074_SGB_103..	SGB_1031_k141_1787915	NRPS-like	NRPS		
c00074_SGB_108...region001	c00074_SGB_108..	SGB_10822_k141_4510	RRE-containing	RiPPs		
c00074_SGB_111...region001	c00074_SGB_111..	SGB_11172_k141_1402421	ranthipeptide	RiPPs		
c00074_SGB_115...region001	c00074_SGB_115..	SGB_1156_k141_936955	betalactone	Others		
c00074_SGB_132...region001	c00074_SGB_132..	SGB_13208_k141_859398	ranthipeptide	RiPPs		
c00074_SGB_137...region001	c00074_SGB_137..	SGB_13781_k141_342191	arylpolyene	Others		
c00074_SGB_276...region001	c00074_SGB_276..	SGB_2767_k141_1575187	cyclic-lactone-autoinducer	RiPPs		
c00074_SGB_405...region001	c00074_SGB_405..	SGB_405_k141_1189639	betalactone	Others		
c00074_SGB_413...region001	c00074_SGB_413..	SGB_4130_k141_948137	T3PKS	PKSother		
c00074_SGB_424...region001	c00074_SGB_424..	SGB_4246_k141_2043427	betalactone	Others		
c00074_SGB_425...region001	c00074_SGB_425..	SGB_4250_k141_1041713	hglE-KS	PKSother		
c00074_SGB_611...region001	c00074_SGB_611..	SGB_6110_k141_711939	betalactone.NRPS-like	Others		
c00074_SGB_619...region001	c00074_SGB_619..	SGB_6191_k141_1495787	NRPS	NRPS		
c00074_SGB_702...region001	c00074_SGB_702..	SGB_7028_k141_1709811	RRE-containing	RiPPs		
c00074_SGB_711...region001	c00074_SGB_711..	SGB_7115_k141_780034	ranthipeptide	RiPPs		
c00074_SGB_757...region001	c00074_SGB_757..	SGB_7574_k141_2539305	betalactone	Others		
c00074_SGB_784...region001	c00074_SGB_784..	SGB_7848_k141_1674971	RRE-containing	RiPPs		
